Latitude,Longitude,Species,SeasonStartMonth,SeasonEndMonth
33.94239637,-118.25229311,peach (Prunus persica),5,8
34.20962379,-118.35302521,apricot (Prunus armeniaca),5,6
34.25251546,-118.47404085,edible loquat (Eriobotrya japonica),3,5
34.18448691,-118.36930084,cherry plum (Prunus cerasifera),5,7
33.96645547,-118.25699642,citrus (Citrus spp.),11,4
33.96646073,-118.25706741,edible loquat (Eriobotrya japonica),3,5
34.18761826,-118.41976314,olive (Olea europaea),9,11
33.96550323,-118.26882501,avocado (Persea americana),10,5
34.21751371,-118.42588996,white mulberry (Morus alba),4,6
34.08296353,-118.16858175,Black cherry (Prunus serotina),7,8
34.21465874,-118.45953930,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.25163314,-118.42154933,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.23414683,-118.48078184,avocado (Persea americana),10,5
34.21531337,-118.46287324,pomegranate (Punica granatum),9,11
34.21556724,-118.46423287,avocado (Persea americana),10,5
33.96840654,-118.25749660,cherry plum (Prunus cerasifera),5,7
34.19673690,-118.42806472,apple (Malus domestica),8,10
34.12025748,-118.25686681,peach (Prunus persica),5,8
34.26259970,-118.47421962,citrus (Citrus spp.),11,4
34.08801505,-118.30193464,Mexican lime (Citrus x aurantiifolia),7,10
34.17390793,-118.37309285,edible loquat (Eriobotrya japonica),3,5
34.19221059,-118.37232930,edible loquat (Eriobotrya japonica),3,5
34.09348557,-118.30117657,apple (Malus domestica),8,10
34.09352749,-118.30117943,avocado (Persea americana),10,5
34.17445177,-118.51149072,avocado (Persea americana),10,5
34.17386546,-118.37309199,edible loquat (Eriobotrya japonica),3,5
34.11527859,-118.25106293,avocado (Persea americana),10,5
34.11968633,-118.21305421,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.22531711,-118.57632547,edible fig (Ficus carica),6,9
34.26593425,-118.51311757,grapefruit (Citrus paradisi),12,4
34.17449428,-118.51136675,avocado (Persea americana),10,5
34.17454794,-118.51131016,white mulberry (Morus alba),4,6
34.26258738,-118.47421333,white mulberry (Morus alba),4,6
34.27008593,-118.45795382,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.26811976,-118.47389892,cherry plum (Prunus cerasifera),5,7
34.16296993,-118.42283791,avocado (Persea americana),10,5
34.26722364,-118.60300210,olive (Olea europaea),9,11
34.26794516,-118.51309960,citrus (Citrus spp.),11,4
34.26725192,-118.60297335,olive (Olea europaea),9,11
34.26064644,-118.42400638,bay laurel (Umbellularia californica),1,12
34.26117236,-118.42436559,citrus (Citrus spp.),11,4
34.26121407,-118.42440473,citrus (Citrus spp.),11,4
34.21178887,-118.42231010,edible loquat (Eriobotrya japonica),3,5
34.28608264,-118.41992180,bay laurel (Umbellularia californica),1,12
34.28692675,-118.41899590,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.21426878,-118.41934381,apple (Malus domestica),8,10
34.21423977,-118.41935494,apple (Malus domestica),8,10
34.28584011,-118.42025899,white sapote (Casimiroa edulis),11,3
34.28595080,-118.42010545,white mulberry (Morus alba),4,6
34.23573508,-118.42765235,avocado (Persea americana),10,5
34.23578702,-118.42758746,edible loquat (Eriobotrya japonica),3,5
33.95192800,-118.25869748,edible fig (Ficus carica),6,9
34.18767314,-118.42876413,edible loquat (Eriobotrya japonica),3,5
34.28141252,-118.41257004,peach (Prunus persica),5,8
34.28175795,-118.41208479,apricot (Prunus armeniaca),5,6
34.21417963,-118.41938317,apple (Malus domestica),8,10
33.94994757,-118.24606144,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.28957320,-118.41555635,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
33.99144107,-118.24764255,guava (Psidium guajava),8,11
33.94646233,-118.24616485,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.21416123,-118.41939344,apple (Malus domestica),8,10
34.21420934,-118.41936948,apple (Malus domestica),8,10
34.21069355,-118.57841880,Java plum (Syzygium cumini),6,8
34.28793770,-118.41761118,pomegranate (Punica granatum),9,11
34.27964354,-118.41522017,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.17629830,-118.41367064,cherry plum (Prunus cerasifera),5,7
34.20516394,-118.55817560,citrus (Citrus spp.),11,4
33.95000997,-118.25855732,guava (Psidium guajava),8,11
33.94997566,-118.25855304,avocado (Persea americana),10,5
33.95018801,-118.25846177,Japanese edible plum (Prunus salicina),6,8
34.17623282,-118.41366993,cherry plum (Prunus cerasifera),5,7
34.20515864,-118.55823407,edible fig (Ficus carica),6,9
34.18772211,-118.44340245,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.18772421,-118.44335301,Manila tamarind; guamuchil (Pithecellobium dulce),7,10
34.24639578,-118.41329061,edible loquat (Eriobotrya japonica),3,5
33.95181917,-118.25869535,citrus (Citrus spp.),11,4
34.15048040,-118.40356064,olive (Olea europaea),9,11
